rank,id,smiles,fit_score,n_hits
1,F1911-1425,C=CCNc1cc(CCOC)ncn1,0.6365622093117298,3
2,F1911-3114,CCOC(=O)CC(NCc1ccc(OC)cc1)C(C)(C)C,0.61086858440118,4
3,F1957-0798,Nc1c(I)cncc1C(=O)O,0.6079855839611225,3
4,F1967-7234,Cn1c(=O)cc(-c2ccc(F)cc2)[nH]c1=O,0.6054825904758822,3
5,F1967-3617,O=c1cc(-c2ccc(F)cc2)[nH]c(=O)[nH]1,0.6007766586376105,3
6,F1911-0540,CCOCc1cc(NCCC(=O)O)ncn1,0.6001125443930505,3
7,F1967-3689,O=c1cc(-c2ccc(F)c(F)c2)[nH]c(=S)[nH]1,0.5998352410174168,3
8,F1967-7464,CCn1c(=O)cc(-c2ccc(F)cc2)[nH]c1=O,0.5995871700519182,3
9,F1903-5305,O=c1[nH]c(-c2ccc(F)cc2F)c(F)c(=O)[nH]1,0.597958388553319,3
10,F2197-5860,O=C(O)c1ccccc1Nc1nccs1,0.5919458770446463,3
11,F1967-3599,O=c1cc(-c2ccc(F)c(F)c2)[nH]c(=O)[nH]1,0.5918461751357056,3
12,F1903-5307,O=c1[nH]cnc(-c2ccc(F)cc2F)c1F,0.5875667459068865,3
13,F1903-5490,O=c1[nH]c(=S)[nH]c(-c2ccc(F)c(F)c2)c1F,0.5865459762441696,3
14,F1916-8820,COc1cc(OC)c(CNC2CC2)c(OC)c1,0.5839097923838055,3
15,F1904-5004,COc1ccc(CNc2nccc(CN)n2)cc1,0.5797895694597897,3
16,F1922-6135,COC(=O)C1(N)CC1c1ccc(OC(C)(C)C)cc1.Cl,0.5763572836780457,4
17,F1967-3493,CSc1nc(-c2ccc(F)cc2)cc(=O)[nH]1,0.5683216156061777,3
18,F2158-2315,Nc1nc(-c2ccc(F)cc2)cc(=O)[nH]1,0.5675340549841372,3
19,F1903-3835,O=c1[nH]cnc(-c2ccc(F)cc2Cl)c1F,0.5623539119051306,3
20,F1903-1495,COc1ccc(-c2[nH]c(=O)[nH]c(=O)c2F)cc1,0.5572584315494279,3
21,F1903-0944,O=c1[nH]c(=S)[nH]c(-c2ccc(F)cc2)c1F,0.556420958480514,3
22,F2167-9392,NC(=O)c1ccc(OC2CCNCC2)cc1,0.555679119337439,3
23,F1903-0946,Cc1nc(-c2ccc(F)cc2)c(F)c(=O)[nH]1,0.5554501354369149,3
24,F1913-7056,Cl.Fc1ccc(C2NCCCC2(F)F)cc1,0.5548598776358514,3
25,F1916-8671,CNCc1cc(Br)c(F)cc1F,0.5516585259713562,3
26,F2158-2310,COc1ccc(-c2cc(=O)[nH]c(N)n2)cc1,0.5513264991760393,3
27,F1922-6381,COc1cc(C2CC(C(=O)O)C(=O)N2)cc(OC)c1OC,0.550893319417077,3
28,F1967-7188,Cn1c(=O)cc(-c2ccc(F)cc2Cl)[nH]c1=O,0.5483436279334634,3
29,F1903-0943,O=c1[nH]c(-c2ccc(F)cc2)c(F)c(=O)[nH]1,0.5466647024442889,3
30,F1909-1838,CNCc1cc(F)c(F)cc1F,0.5461746548329246,3
31,F1904-9124,CC1CC1(N)c1cc(F)c(F)cc1F,0.5456648888848389,3
32,F2147-1784,CCOc1ccc(CN)cn1.O=C(O)C(=O)O,0.5448770292528962,3
33,F1967-9761,COc1ccc(CNC(C)C(C)C)cc1OC,0.5445860272109384,3
34,F1903-3833,O=c1[nH]c(-c2ccc(F)cc2Cl)c(F)c(=O)[nH]1,0.5396579158095863,3
35,F1907-0580,O=C1CS(=O)(=O)Nc2ccsc21,0.5393960182456158,3
36,F1903-3834,O=c1[nH]c(=S)[nH]c(-c2ccc(F)cc2Cl)c1F,0.5373533219063268,3
37,F2135-0092,CCOC(=O)c1cnn(-c2nc(C)c(C)c(=O)[nH]2)c1N,0.5372089283185576,3
38,F1967-1652,COc1ccc(C(=O)NCCN)cc1OC,0.5327840076251334,3
39,F1922-6076,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1.Cl,0.5319345534137687,3
40,F1814-9908,C#CCNC(=O)c1ccc2c(c1)OC(F)(F)O2,0.5312686902448241,3
41,F6716-4425,Fc1ccc(CNc2ncc(Br)cn2)c(F)c1,0.5309538767917084,3
42,F6660-5258,C#CCNC(=O)c1ccc(F)cc1,0.530911567072757,3
43,F1911-1447,COCCc1cc(NCCN)ncn1,0.530738140797545,3
44,F1911-2901,COC(=O)c1cc(C2CCCCN2)n(C)n1,0.5307285728532568,3
45,F1922-2825,C=CCOCCC(NC)c1ccc(OC)c(OC)c1,0.5288987609042126,3
46,F6617-4646,C#CCNC(=O)c1ccc(OC)nc1,0.5274931337842064,3
47,F1967-9751,COCC(C)NCc1ccc(OC)cc1OC,0.5273640610855471,3
48,F1922-3179,CCOCCC(NC)c1ccc(OC(F)(F)F)cc1,0.5260341211720501,3
49,F1922-3762,COc1cc(C2CC2N)ccc1F.Cl,0.5259276560626723,3
50,F2147-4623,O=C1NCC(C(F)(F)F)C(=O)N1,0.5251323270146665,3
51,F3665-3741,C#CCNC(=O)c1ccc(OC)cc1,0.5241394445804932,3
52,F2147-9506,CC(C)(C)OC(=O)NC(CO)c1ccc(F)cc1,0.5229852140963376,3
