synthon_smiles,original_smiles,parent_fit_score,parent_n_hits,reactivity,bb_info
COCCc1cc(NC[CH3:50])ncn1,C=CCNc1cc(CCOC)ncn1,0.6365622093117298,3,unknown,{'Alkenes_AlkenesCH2'}
C=CC[NH:20]c1cc(CCOC)ncn1,C=CCNc1cc(CCOC)ncn1,0.6365622093117298,3,nucleophile,{'SecondaryAmines_secHet-Anilines'}
COCCc1cc([NH:20]C[CH3:50])ncn1,C=CCNc1cc(CCOC)ncn1,0.6365622093117298,3,nucleophile,"{'Alkenes_AlkenesCH2', 'SecondaryAmines_secHet-Anilines'}"
COc1ccc(C[NH:20]C(CC(=O)O)C(C)(C)C)cc1,CCOC(=O)CC(NCc1ccc(OC)cc1)C(C)(C)C,0.61086858440118,4,nucleophile,{'Bifunctional_Amine_Ester'}
COc1ccc(C[NH:20]C(C[CH:10]=O)C(C)(C)C)cc1,CCOC(=O)CC(NCc1ccc(OC)cc1)C(C)(C)C,0.61086858440118,4,bifunctional,{'Bifunctional_Amine_Ester'}
O=C(O)c1cncc(I)c1[NH2:20],Nc1c(I)cncc1C(=O)O,0.6079855839611225,3,nucleophile,{'Aminoacids_N-AromaticAmino_Acid'}
O=[CH:10]c1cncc(I)c1[NH2:20],Nc1c(I)cncc1C(=O)O,0.6079855839611225,3,bifunctional,{'Aminoacids_N-AromaticAmino_Acid'}
O=C(O)c1cncc(I)c1[NH2:40],Nc1c(I)cncc1C(=O)O,0.6079855839611225,3,nucleophile,{'Aminoacids_N-AromaticAmino_Acid'}
O=[CH:10]c1cncc(I)c1[NH2:40],Nc1c(I)cncc1C(=O)O,0.6079855839611225,3,bifunctional,{'Aminoacids_N-AromaticAmino_Acid'}
Nc1c(I)cncc1[CH:10]=O,Nc1c(I)cncc1C(=O)O,0.6079855839611225,3,electrophile,{'Aminoacids_N-AromaticAmino_Acid'}
CCOCc1cc([NH:20]CCC(=O)O)ncn1,CCOCc1cc(NCCC(=O)O)ncn1,0.6001125443930505,3,nucleophile,{'Aminoacids_N-AromaticAmino_Acid'}
CCOCc1cc([NH:20]CC[CH:10]=O)ncn1,CCOCc1cc(NCCC(=O)O)ncn1,0.6001125443930505,3,bifunctional,{'Aminoacids_N-AromaticAmino_Acid'}
CCOCc1cc(NCC[CH:10]=O)ncn1,CCOCc1cc(NCCC(=O)O)ncn1,0.6001125443930505,3,electrophile,{'Aminoacids_N-AromaticAmino_Acid'}
O=C(O)c1ccccc1[NH:20]c1nccs1,O=C(O)c1ccccc1Nc1nccs1,0.5919458770446463,3,nucleophile,{'Aminoacids_N-AromaticAmino_Acid'}
O=[CH:10]c1ccccc1[NH:20]c1nccs1,O=C(O)c1ccccc1Nc1nccs1,0.5919458770446463,3,bifunctional,{'Aminoacids_N-AromaticAmino_Acid'}
O=[CH:10]c1ccccc1Nc1nccs1,O=C(O)c1ccccc1Nc1nccs1,0.5919458770446463,3,electrophile,{'Aminoacids_N-AromaticAmino_Acid'}
COc1cc(OC)c(C[NH:20]C2CC2)c(OC)c1,COc1cc(OC)c(CNC2CC2)c(OC)c1,0.5839097923838055,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
COc1ccc(C[NH:20]c2nccc(CN)n2)cc1,COc1ccc(CNc2nccc(CN)n2)cc1,0.5797895694597897,3,nucleophile,{'Reagents_DiAmines'}
COc1ccc(C[NH:20]c2nccc(C[NH2:20])n2)cc1,COc1ccc(CNc2nccc(CN)n2)cc1,0.5797895694597897,3,nucleophile,{'Reagents_DiAmines'}
COc1ccc(CNc2nccc(C[NH2:20])n2)cc1,COc1ccc(CNc2nccc(CN)n2)cc1,0.5797895694597897,3,nucleophile,{'Reagents_DiAmines'}
CC(C)(C)Oc1ccc(C2CC2(C(=O)O)[NH2:20])cc1,COC(=O)C1(N)CC1c1ccc(OC(C)(C)C)cc1,0.5763572836780457,4,nucleophile,{'Bifunctional_Amine_Ester'}
CC(C)(C)Oc1ccc(C2CC2(C(=O)O)[NH2:40])cc1,COC(=O)C1(N)CC1c1ccc(OC(C)(C)C)cc1,0.5763572836780457,4,nucleophile,{'Bifunctional_Amine_Ester'}
CC(C)(C)Oc1ccc(C2CC2([CH:10]=O)[NH2:20])cc1,COC(=O)C1(N)CC1c1ccc(OC(C)(C)C)cc1,0.5763572836780457,4,bifunctional,{'Bifunctional_Amine_Ester'}
